tree_id,species,age_years,dbh_cm,db_cm,dm_cm,dt_cm,total_height_m,merch_height_m,bole_height_m,crown_diameter_m,crown_length_m,crown_projection_area_m2,crown_ratio,basal_area_m2,total_volume_m3,merch_volume_m3,agb_kg,natural_form_factor
150,Nauclea_diderrichii,44,45.0,57.2,40.0,37.5,37.0,23.0,22.7,6.005,14.0,0.00283251496375,0.3783783783783784,0.15906374999999998,24.674911500000004,15.338458500000002,2021.9149803384532,4.192592592592594
151,Nauclea_diderrichii,44,31.82686,45.0,25.0,20.0,31.0,15.0,14.7,5.945,16.0,0.0027761946137500005,0.5161290322580645,0.07956714532145158,13.392774999999999,6.4803749999999996,1140.9618113207391,5.429690838531624
152,Nauclea_diderrichii,44,28.64418,35.4,27.5,20.0,26.0,15.0,14.7,1.3,11.0,0.00013274950000000002,0.4230769230769231,0.06444941471037702,11.259880666666666,6.496085000000001,814.5235714624642,6.719569685457581
153,Nauclea_diderrichii,44,41.69319,50.0,30.0,25.0,26.1,15.3,15.0,4.05,10.8,0.001288416375,0.41379310344827586,0.13654520035614268,13.3260075,7.8117975,1645.8385803758015,3.739237986163539
154,Nauclea_diderrichii,44,22.2788,30.0,17.5,10.0,25.0,16.0,15.7,3.85,9.0,0.001164307375,0.36,0.038987894207511996,7.2004166666666665,4.608266666666665,542.2776292621243,7.387335800536081
155,Nauclea_diderrichii,44,42.64799,45.0,27.5,20.0,27.5,20.1,19.8,3.0,7.4,0.0007069499999999999,0.2690909090909091,0.14287075005919986,12.600729166666667,9.209987500000002,1518.1873481948107,3.207152850695264
156,Nauclea_diderrichii,44,46.6,55.0,36.5,27.5,30.9,22.4,22.099999999999998,4.95,8.5,0.001924671375,0.2750809061488673,0.170576038,18.487135249999998,13.401677333333332,2013.4812608162886,3.5074631447745706
157,Nauclea_diderrichii,44,41.37492,55.0,30.0,20.0,32.2,21.2,20.900000000000002,5.94,11.0,0.0027715267800000006,0.3416149068322981,0.13446848859325272,16.440515,10.82419,1792.8271170269527,3.796986233290788
158,Nauclea_diderrichii,44,35.00955,45.0,30.0,17.5,32.2,23.2,22.900000000000002,6.14,9.0,0.0029613035799999996,0.2795031055900621,0.09627626783895636,15.386635833333333,11.086023333333333,1252.1905377989037,4.963277493604525
159,Nauclea_diderrichii,44,40.10185,45.5,30.0,21.0,36.2,22.8,22.5,8.435,13.4,0.005588771623750001,0.3701657458563536,0.1263208402323374,17.677153833333335,11.133677,1445.162014989557,3.86570549854259
160,Nauclea_diderrichii,44,39.78358,45.0,25.0,17.5,25.5,15.6,15.799999999999999,7.42,9.4,0.00432468022,0.3686274509803922,0.12432369581476821,10.84971875,6.637474999999999,1418.5849058898305,3.4223497288931517
161,Nauclea_diderrichii,44,49.6499,55.0,30.0,19.5,28.1,20.4,20.1,7.23,7.7,0.0041060362950000005,0.27402135231316727,0.19363459237428549,14.310369916666666,10.389023,2141.9990525550666,2.630035403741028
162,Nauclea_diderrichii,44,31.82686,40.5,25.0,17.5,29.0,19.7,19.4,4.8,9.3,0.001809792,0.3206896551724138,0.07956714532145158,11.997203333333333,8.149824333333333,1029.4655021048898,5.19934031810907
163,Nauclea_diderrichii,44,42.64799,45.0,27.5,20.0,27.5,20.3,20.0,3.0,7.2,0.0007069499999999999,0.26181818181818184,0.14287075005919986,12.600729166666667,9.301629166666668,1518.1873481948107,3.207152850695264
164,Nauclea_diderrichii,44,40.0,52.5,25.0,15.0,17.7,15.2,14.899999999999999,9.0,2.5,0.00636255,0.14124293785310735,0.12568,7.76270375,6.666276666666667,1657.6581914390379,3.489583333333334
165,Nauclea_diderrichii,44,46.14895,50.0,30.0,30.0,27.0,19.0,18.7,10.125,8.0,0.00805260234375,0.2962962962962963,0.16728994478835138,14.138999999999998,9.949666666666664,1817.2957757625848,3.130293738390487
166,Nauclea_diderrichii,44,53.46913,63.0,40.0,30.0,31.8,18.2,17.9,6.5,13.6,0.0033187374999999997,0.42767295597484273,0.22457035463526445,21.065538999999998,12.056377666666666,2629.020493985752,2.949803122541403
167,Nauclea_diderrichii,44,42.96626,60.0,35.0,20.0,42.7,27.2,26.900000000000002,4.65,15.5,0.001698447375,0.36299765807962525,0.14501111559834595,24.59662333333333,15.668106666666665,2024.9628669192261,3.9723391614256616
168,Nauclea_diderrichii,44,43.96626,50.0,30.0,20.0,27.4,17.4,17.099999999999998,11.625,10.0,0.010615296093749999,0.36496350364963503,0.15183966504434596,13.63104333333333,8.656209999999998,1733.358250188157,3.2763727000322302
169,Nauclea_diderrichii,44,42.8,68.4,30.0,25.0,26.0,15.0,14.7,7.685,11.0,0.004639102123749999,0.4230769230769231,0.143891032,14.527560666666664,8.381285,2292.5183799131178,3.8831630127813193
170,Nauclea_diderrichii,44,50.0,57.9,29.0,25.0,27.5,20.5,20.2,6.285,7.0,0.00310282122375,0.2545454545454545,0.196375,14.321628749999997,10.676123249999998,2267.6600802739836,2.6519999999999992
171,Nauclea_diderrichii,44,40.0,45.9,30.0,25.0,27.3,15.1,14.8,3.1,12.2,0.0007548655000000001,0.44688644688644685,0.12568,13.645627449999996,7.547581483333332,1453.9473660427,3.9770833333333324
172,Nauclea_diderrichii,44,30.82686,45.0,25.0,17.5,29.0,17.7,17.4,4.8,11.3,0.001809792,0.3896551724137931,0.07464569561545158,12.338895833333332,7.530981249999999,1105.9598297401876,5.699982606613863
